2011-04-01 02:31: Course:1,417200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:32: Course:1,417100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:33: Course:1,416900 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:34: Course:1,416700 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:35: Course:1,416400 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:36: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:37: Course:1,416000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:38: Course:1,416100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:39: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:40: Course:1,415900 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:41: Course:1,415800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:42: Course:1,415900 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:43: Course:1,416100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:44: Course:1,415800 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:45: Course:1,415900 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:46: Course:1,416100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:47: Course:1,416300 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:48: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:49: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:50: Course:1,416000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:51: Course:1,416000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:52: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:53: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:54: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:55: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:56: Course:1,416100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:57: Course:1,416100 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 02:58: Course:1,416000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 03:00: Course:1,416200 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
2011-04-01 03:01: Course:1,416000 | Active/Closed Trades:  0/  0 | Balance: 50000 | Equity: 50000 | Used Margin:     0 | Usable Margin: 50000
